timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1683613561.919451 0.06663728 -0.06813262 0.00021195 -0.00057938 0.00155853 0.00055464
1683613561.986167 0.05873914 -0.06931908 -0.00034324 -0.00079380 0.00161937 0.00050484
1683613562.052884 0.05160394 -0.06965734 -0.00153647 -0.00082348 0.00164192 0.00059811
1683613562.119600 0.04769387 -0.06933249 -0.00244591 -0.00082993 0.00170285 0.00064822
1683613562.186317 0.04890883 -0.06964884 -0.00217997 -0.00080763 0.00163657 0.00062789
1683613562.253034 0.04853978 -0.06926337 -0.00250071 -0.00080207 0.00168867 0.00074771
1683613562.319751 0.04878613 -0.06936876 -0.00258657 -0.00083498 0.00176219 0.00080616
1683613562.386467 0.04864597 -0.06920780 -0.00270205 -0.00079344 0.00180010 0.00077295
1683613562.453184 0.04759133 -0.06961109 -0.00225797 -0.00078346 0.00168055 0.00071122
1683613562.519901 0.04677781 -0.07017944 -0.00184804 -0.00079681 0.00160972 0.00077075
1683613562.586617 0.04698384 -0.06989799 -0.00208178 -0.00077983 0.00164036 0.00083717
1683613562.653334 0.04708629 -0.06913682 -0.00267624 -0.00070372 0.00155087 0.00090354
1683613562.720051 0.04716933 -0.06897661 -0.00282695 -0.00066009 0.00156348 0.00084837
1683613562.786768 0.04793386 -0.06915342 -0.00345221 -0.00069325 0.00164279 0.00087489
1683613562.853485 0.04684111 -0.06931146 -0.00270814 -0.00073291 0.00160081 0.00095082
1683613562.920202 0.04651148 -0.06996756 -0.00241950 -0.00072857 0.00152894 0.00098985
1683613562.986919 0.04591935 -0.07011673 -0.00217430 -0.00071617 0.00148869 0.00099542
1683613563.053635 0.04464699 -0.06998362 -0.00217643 -0.00068749 0.00145772 0.00100400
1683613563.120351 0.04520955 -0.06981677 -0.00239506 -0.00062456 0.00149072 0.00098540
1683613563.187067 0.04475863 -0.06980664 -0.00226108 -0.00059431 0.00148309 0.00097327
1683613563.253783 0.04427031 -0.07001469 -0.00212316 -0.00060680 0.00145577 0.00096874
1683613563.320500 0.04315126 -0.07006947 -0.00176700 -0.00064251 0.00139495 0.00097957
1683613563.387216 0.04233450 -0.07009528 -0.00149454 -0.00063349 0.00134915 0.00101626
1683613563.453932 0.04227209 -0.07006501 -0.00158247 -0.00058283 0.00135361 0.00102925
1683613563.520648 0.04229798 -0.07035729 -0.00167627 -0.00057530 0.00141956 0.00101687
1683613563.587365 0.03987349 -0.07053185 -0.00079729 -0.00058976 0.00133614 0.00102983
1683613563.654081 0.04141204 -0.07080132 -0.00108874 -0.00059645 0.00128936 0.00106526
1683613563.720797 0.04112398 -0.07116252 -0.00098624 -0.00060915 0.00130594 0.00107994
1683613563.787514 0.04052348 -0.07121559 -0.00079786 -0.00059180 0.00129003 0.00109781
1683613563.854230 0.03904368 -0.07124562 -0.00066538 -0.00054697 0.00121146 0.00107019
1683613563.920946 0.04009693 -0.07208291 -0.00074892 -0.00054234 0.00124626 0.00106406
1683613563.987663 0.04023833 -0.07239689 -0.00083331 -0.00056337 0.00123958 0.00109408
1683613564.054381 0.03997587 -0.07276722 -0.00074356 -0.00057521 0.00124603 0.00112715
1683613564.121099 0.03940006 -0.07305369 -0.00053765 -0.00056344 0.00120563 0.00110924
1683613564.187817 0.03910816 -0.07322615 -0.00045229 -0.00056772 0.00117172 0.00110066
1683613564.254534 0.03882570 -0.07337124 -0.00038879 -0.00056182 0.00115907 0.00111649
1683613564.321252 0.03892121 -0.07360428 -0.00044413 -0.00056055 0.00116715 0.00111710
1683613564.387970 0.03773289 -0.07367605 -0.00003437 -0.00056002 0.00111784 0.00113078
1683613564.454688 0.03851286 -0.07367489 -0.00033572 -0.00053802 0.00109410 0.00112446
1683613564.521406 0.03781154 -0.07388861 -0.00013521 -0.00053954 0.00109747 0.00112067
1683613564.588124 0.03784546 -0.07403902 -0.00018014 -0.00054090 0.00110111 0.00113979
1683613564.654842 0.03731200 -0.07422208 -0.00000427 -0.00053135 0.00109082 0.00113536
1683613564.721560 0.03713939 -0.07421564 0.00002684 -0.00052186 0.00106250 0.00112794
1683613564.788278 0.03715319 -0.07431596 0.00000978 -0.00052592 0.00105396 0.00114058
1683613564.854996 0.03695089 -0.07447326 0.00007078 -0.00051813 0.00105795 0.00115552
1683613564.921714 0.03644339 -0.07450429 0.00023578 -0.00049027 0.00103035 0.00114493
1683613564.988431 0.03676530 -0.07457389 0.00012129 -0.00051998 0.00102089 0.00116679
1683613565.055148 0.03651958 -0.07493473 0.00027634 -0.00053375 0.00102171 0.00118494
1683613565.121864 0.03614081 -0.07477430 0.00036324 -0.00049248 0.00098941 0.00116252
1683613565.188581 0.03636851 -0.07467305 0.00022828 -0.00049514 0.00098955 0.00117707
1683613565.255297 0.03595091 -0.07504481 0.00044099 -0.00050329 0.00098552 0.00119187
1683613565.322014 0.03597570 -0.07499547 0.00042142 -0.00049283 0.00096785 0.00118405
1683613565.388730 0.03550646 -0.07491768 0.00050518 -0.00048688 0.00096043 0.00119249
1683613565.455447 0.03567635 -0.07503584 0.00052990 -0.00048470 0.00095470 0.00120496
1683613565.522163 0.03575785 -0.07507489 0.00051508 -0.00048395 0.00093910 0.00120755
1683613565.588880 0.03576094 -0.07509214 0.00049755 -0.00048274 0.00093697 0.00121832
